Глубокорыхление;15.09.2020;30.10.2020
Внесение удобрений (при норме 100-250 кг/га);01.08.2020;30.09.2020
Опрыскивание сахарной свеклы;01.08.2020;30.09.2020
Внесение удобрений (при норме 100-250 кг/га);01.09.2020;30.09.2020
Выравнивание;01.09.2020;10.11.2020
Боронование зяби;15.04.2021;01.05.2021
Внесение удобрений (при норме 300-500 кг/га);30.04.2021;10.05.2021
Сев сахарной свеклы;01.05.2021;10.05.2021
Опрыскивание сахарной свеклы;15.05.2021;21.05.2021
Опрыскивание сахарной свеклы;22.05.2021;28.05.2021
Опрыскивание сахарной свеклы;29.05.2021;04.06.2021
Опрыскивание сахарной свеклы;25.07.2021;05.08.2021