4.01.01;178;Пшеница яровая
4.01.02;126;Пшеница яровая
4.01.03;117;Пшеница яровая
4.01.04;28;Пшеница яровая
4.01.05;173;Пшеница яровая
4.01.06;44;Пшеница яровая
4.01.07;54;Пшеница яровая
4.01.08;81;Пшеница яровая
4.01.09;129;Пшеница яровая
4.02.01;59;Пшеница яровая
4.02.02;56;Пшеница яровая
4.02.03;41;Горох
4.02.04;112;Пшеница яровая
4.02.05;48;Пшеница яровая
4.02.06;58;Пшеница яровая
4.02.07;46;Пшеница яровая
4.02.08;152;Горох
4.02.09;172;Горох
4.02.10;87;Свекла сахарная
4.02.11;32;Свекла сахарная
4.02.12;85;Свекла сахарная
4.02.13;36;Свекла сахарная
4.02.14;41;Свекла сахарная
4.02.15;20;Свекла сахарная
4.02.16;117;Свекла сахарная
4.02.17;181;Свекла сахарная
4.02.18;31;Свекла сахарная
4.02.19;64;Свекла сахарная
4.02.20;105;Свекла сахарная
4.02.21;77;Горох
4.02.22;73;Горох
4.02.23;23;Горох
4.02.24;98;Горох
4.02.25;23;Свекла сахарная
4.02.26;184;Свекла сахарная
4.02.27;49;Свекла сахарная
4.03.01;42;Свекла сахарная
4.03.02;106;Свекла сахарная
4.03.03;27;Свекла сахарная
4.03.04;208;Свекла сахарная
4.03.05;183;Свекла сахарная
4.03.06;21;Свекла сахарная
4.03.07;36;Свекла сахарная
4.03.08;80;Горох
4.03.09;30;Горох
4.03.10;31;Горох
4.03.11;82;Свекла сахарная
4.03.12;39;Свекла сахарная
4.03.13;19;Свекла сахарная
4.03.14;14;Свекла сахарная
4.03.15;52;Свекла сахарная
4.03.16;50;Горох
4.03.17;12;Горох
4.03.18;4;Горох
4.03.19;75;Горох
4.03.21;18;Горох
4.03.22;13;Горох
4.03.23;89;Горох
4.03.24;13;Горох
4.03.25;31;Свекла сахарная
4.04.01;22;Пшеница озимая
4.04.02;11;Пшеница озимая
4.04.03;56;Пшеница озимая
4.04.04;84;Пшеница озимая
4.04.05;224;Пшеница озимая
4.04.06;34;Пшеница озимая
4.04.07;53;Пшеница озимая
4.04.08;133;Пшеница озимая
4.04.09;74;Пшеница яровая
4.04.10;24;Пшеница озимая
4.04.11;42;Пшеница озимая
4.04.12;53;Пшеница яровая
4.04.13;185;Пшеница озимая
4.04.14;73;Пшеница озимая
4.04.15;47;Пшеница яровая
4.04.17;38;Пшеница озимая
4.04.18;74;Пшеница озимая
4.04.19;48;Пшеница озимая
4.04.20;42;Пшеница яровая
4.04.21;69;Пшеница озимая
4.04.22;68;Пшеница озимая
4.04.23;68;Пшеница озимая
4.04.24;37;Пшеница яровая
4.04.25;128;Пшеница яровая
4.04.26;100;Пшеница яровая
4.04.27;35;Пшеница яровая
4.04.28;32;Пшеница озимая
4.04.29;83;Пшеница озимая
4.05.01;39;Пшеница яровая
4.05.02;139;Пшеница яровая
4.05.03;162;Свекла сахарная
4.05.04;74;Пшеница яровая
4.05.05;100;Пшеница озимая
4.05.06;227;Пшеница озимая
4.05.07;29;Пшеница озимая
4.05.08;45;Пшеница озимая
4.05.09;65;Пшеница озимая
4.05.10;99;Пшеница озимая
4.05.11;53;Пшеница озимая
4.05.12;122;Пшеница яровая
4.05.13;35;Пшеница яровая
4.05.14;60;Пшеница яровая
4.05.15;29;Пшеница яровая
4.05.16;29;Пшеница яровая
4.05.17;66;Пшеница яровая
4.05.19;26;Пшеница озимая
4.05.20;42;Пшеница озимая
4.05.21;79;Свекла сахарная
4.05.22;26;Пшеница озимая
4.05.23;84;Пшеница яровая
4.05.24;46;Свекла сахарная
4.05.25;114;Пшеница озимая
4.06.01;374;Свекла сахарная
4.06.02;55;Свекла сахарная
4.06.03;23;Свекла сахарная
4.06.04;36;Свекла сахарная
4.06.05;164;Свекла сахарная
4.06.06;56;Пшеница озимая
4.06.07;91;Свекла сахарная
4.06.08;62;Пшеница озимая
4.06.09;12;Пшеница озимая
4.06.10;29;Пшеница озимая
4.06.11;26;Пшеница озимая
4.06.12;38;Пшеница озимая
4.06.13;181;Пшеница озимая
4.06.17;73;Свекла сахарная
4.06.18;93;Свекла сахарная