Трактор Беларус-82;Борона БРМ-6;Боронование зяби;56,00
Трактор Беларус-1221;Борона БРМ-6;Боронование зяби;56,00
Трактор John Deere;Борона БШГ-21 К2 -БЗС-1С;Боронование зяби;136,00
Трактор VERSATILE 2375;Борона БШГ-21 К2 -БЗС-1С;Боронование зяби;96,00
Трактор John Deere;КАМА-21;Боронование зяби;136,00
Трактор VERSATILE 2375;КАМА-21;Боронование зяби;136,00
Трактор Беларус-82;Борона БРМ-6;Боронование посевов;56,00
Трактор Беларус-1221;Борона БРМ-6;Боронование посевов;56,00
Трактор John Deere;Борона БШГ-21 К2 -БЗС-1С;Боронование посевов;136,00
Трактор VERSATILE 2375;Борона БШГ-21 К2 -БЗС-1С;Боронование посевов;96,00
Трактор John Deere;КАМА-21;Боронование посевов;136,00
Трактор Беларус-1221;Разбрасыватель Amazone ZG-B 10001;Внесение удобрений (при норме 100-250 кг/га);176,00
Трактор Беларус-1221;Разбрасыватель Amazone ZG-B 8200;Внесение удобрений (при норме 100-250 кг/га);160,00
Трактор Massey Ferguson 7622;Разбрасыватель Amazone ZG-B 8200;Внесение удобрений (при норме 100-250 кг/га);160,00
Трактор Беларус-1221;Разбрасыватель Amazone ZG-B 10001;Внесение удобрений (при норме 300-500 кг/га);128,00
Трактор Беларус-1221;Разбрасыватель Amazone ZG-B 8200;Внесение удобрений (при норме 300-500 кг/га);112,00
Трактор John Deere;Компактор Lemken Gigant 800;Выравнивание;33,60
Трактор VERSATILE 2375;Компактор Lemken Gigant 800;Выравнивание;68,00
Трактор John Deere;Глубокорыхлитель Atilla 300/7 Maschio Gaspardo;Глубокорыхление;16,00
Трактор John Deere;Борона дисковая Lemken Geliodor 10;Дискование;64,00
Трактор VERSATILE 2375;Борона дисковая Lemken Geliodor 10;Дискование;64,00
Трактор VERSATILE 2375;Борона дисковая БДТ-6 ПР;Дискование;56,00
Трактор John Deere;Культиватор дисковый Vaderstad Camier CRХ 625;Дискование;42,40
Трактор Беларус-1221;Опрыскиватель RAU 24;Опрыскивание культур сплошного сева;84,00
Трактор Беларус-82;Опрыскиватель RAU 24;Опрыскивание культур сплошного сева;84,00
Трактор Беларус-1221;Опрыскиватель RAU 36;Опрыскивание культур сплошного сева;170,00
Трактор Massey Ferguson 7622;Опрыскиватель RAU 36;Опрыскивание культур сплошного сева;170,00
Опрыскиватель Challenger RG1100;;Опрыскивание культур сплошного сева;201,60
Трактор Беларус-1221;Опрыскиватель RAU 24;Опрыскивание сахарной свеклы;84,00
Трактор Беларус-82;Опрыскиватель RAU 24;Опрыскивание сахарной свеклы;84,00
Трактор Беларус-1221;Опрыскиватель RAU 36;Опрыскивание сахарной свеклы;170,00
Трактор Massey Ferguson 7622;Опрыскиватель RAU 36;Опрыскивание сахарной свеклы;170,00
Опрыскиватель Challenger RG1100;;Опрыскивание сахарной свеклы;176,00
Трактор Беларус-82;Каток 3-ККШ-6;Прикатывание посевов;43,20
Трактор Беларус-1221;Каток 3-ККШ-6;Прикатывание посевов;52,00
Трактор Massey Ferguson 7622;Каток ККЗ-9,2Н;Прикатывание посевов;120,00
Трактор Беларус-82;Каток ККЗ-9,2Н;Прикатывание посевов;52,80
Трактор Беларус-1221;Каток ККЗ-9,2Н;Прикатывание посевов;66,40
Трактор John Deere;Сеялка JOHN DEERE 1890 ;Сев зерновых культур;50,00
Трактор Massey Ferguson 7622;Сеялка Kverneland Monopill 24;Сев сахарной свеклы;40,80